价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,屏幕色域,系统,处理器,内存,固态硬盘,显卡
5799,//item.jd.com/100016777692.html,戴尔Ins 15-3501,none,18.1-20.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,MX330
,,,,,,,,,,,,
10899,//item.jd.com/100009536763.html,AppleMacBook Pro 13.3,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,16GB,256GB,none
,,,,,,,,,,,,
4699,//item.jd.com/100011526087.html,小米14-5,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,AMD R5,16GB,none,none
,,,,,,,,,,,,
5199,//item.jd.com/100021150228.html,华硕无畏Pro14 标压锐龙版,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,DCI-P3,Windows 10 不带Office,AMD R5,16GB,512GB,none
,,,,,,,,,,,,
4799,//item.jd.com/100014488372.html,神舟战神,2-2.5kg,20.0mm以上,15.0-15.9英寸,小于5小时,none,Windows 10 不带Office,Intel i5,8GB,512GB,GTX1650
,,,,,,,,,,,,
8699,//item.jd.com/100021965308.html,联想拯救者Y7000P,none,20.0mm以上,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
7546,//item.jd.com/10031056034683.html,联想（Lenovo）小新Pro16,1.5-2kg,15.1-18.0mm,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,RTX3050
,,,,,,,,,,,,
4489,//item.jd.com/10025621720527.html,华硕（ASUS）VivoBook15,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i5,12GB,256GB,MX330
,,,,,,,,,,,,
13999,//item.jd.com/100024053514.html,ROG魔霸5R Plus,大于2.5kg,20.0mm以上,17.3英寸,小于5小时,DCI-P3,Windows 10 不带Office,AMD R9,16GB,none,RX6800M
,,,,,,,,,,,,
10499,//item.jd.com/100012969215.html,华硕FA506QR（天选2）,2-2.5kg,20.0mm以上,15.0-15.9英寸,小于5小时,DCI-P3,Windows 10 不带Office,AMD R9,16GB,512GB,RTX3070
,,,,,,,,,,,,
6299,//item.jd.com/10026505315633.html,ThinkPadE15 2021,none,18.1-20.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
4299,//item.jd.com/100025776784.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
